Latitude cane,GJ net cane energy per GJ NPP,Ha cane,Ha cane normalized to max
20.708,1.161080163,40443,0.323544
20.625,1.159998077,42530,0.34024
20.542,1.105564298,44022,0.352176
20.458,1.100370649,45511,0.364088
20.375,1.067320096,49196,0.393568
20.292,1.035485361,51113,0.408904
20.208,1.06015788,46180,0.36944
20.125,1.104467055,36541,0.292328
20.042,1.174352879,28950,0.2316
19.958,1.125681271,27887,0.223096
19.875,1.205912414,24428,0.195424
19.792,1.262975444,30448,0.243584
19.708,1.285303396,32030,0.25624
19.625,1.309081515,34447,0.275576
19.542,1.258326094,33862,0.270896
19.458,1.234173528,36523,0.292184
19.375,1.286624523,34035,0.27228
19.292,1.298129527,34348,0.274784
19.208,1.281129343,37923,0.303384
19.125,1.259334951,31617,0.252936
19.042,1.297197353,31386,0.251088
18.958,1.169730847,38891,0.311128
18.875,1.159467942,45782,0.366256
18.792,1.11966417,50530,0.40424
18.708,1.17705696,51381,0.411048
18.625,1.169871763,54192,0.433536
18.542,1.151894996,54022,0.432176
18.458,1.211369939,49271,0.394168
18.375,1.109880361,58611,0.468888
18.292,1.046185773,55112,0.440896
18.208,0.999333226,51447,0.411576
18.125,1.012791592,49109,0.392872
18.042,1.033406089,48636,0.389088
17.958,1.103976711,51609,0.412872
17.875,1.155261666,43729,0.349832
17.792,1.229857034,37970,0.30376
17.708,1.313412524,37850,0.3028
17.625,1.344203935,35421,0.283368
17.542,1.351576758,32155,0.25724
17.458,1.409989283,29339,0.234712
17.375,1.470058609,27484,0.219872
17.292,1.406648687,26770,0.21416
17.208,1.442633095,27938,0.223504
17.125,1.413841751,32317,0.258536
17.042,1.391748426,37010,0.29608
16.958,1.316660033,39345,0.31476
16.875,1.313024265,43409,0.347272
16.792,1.418134692,46609,0.372872
16.708,1.46248043,44611,0.356888
16.625,1.374714205,43357,0.346856
16.542,1.335481174,46016,0.368128
16.458,1.255793124,47289,0.378312
16.375,1.324139302,45303,0.362424
16.292,1.207002751,42268,0.338144
16.208,1.214794286,44669,0.357352
16.125,1.29358671,39756,0.318048
16.042,1.149409588,46392,0.371136
15.958,1.09056982,51626,0.413008
15.875,1.178213628,45506,0.364048
15.792,1.150455441,37913,0.303304
15.708,1.155363536,33125,0.265
15.625,1.083128624,34529,0.276232
15.542,1.004612922,30432,0.243456
15.458,1.042689634,28603,0.228824
15.375,1.078901799,27561,0.220488
15.292,1.009606987,28726,0.229808
15.208,1.034207888,29083,0.232664
15.125,1.050199369,31566,0.252528
15.042,1.052898622,34548,0.276384
14.958,1.109673977,32931,0.263448
14.875,1.175561169,33788,0.270304
14.792,1.19994584,34979,0.279832
14.708,1.195584636,33918,0.271344
14.625,1.207306493,32482,0.259856
14.542,1.144577211,31273,0.250184
14.458,1.14531207,29267,0.234136
14.375,1.11540911,27569,0.220552
14.292,1.043112037,26480,0.21184
14.208,1.063326327,25664,0.205312
14.125,0.994065943,28827,0.230616
14.042,0.971626988,29923,0.239384
13.958,0.992815711,29987,0.239896
13.875,0.978530723,28580,0.22864
13.792,1.000235121,28506,0.228048
13.708,1.025268213,27415,0.21932
13.625,1.119426486,25072,0.200576
13.542,1.106297988,23906,0.191248
13.458,1.084199569,20490,0.16392
13.375,1.112155164,21827,0.174616
13.292,1.159413428,20019,0.160152
13.208,1.082767871,16832,0.134656
13.125,1.155146254,16193,0.129544
13.042,1.205111632,16846,0.134768
12.958,1.305349143,18661,0.149288
12.875,1.312228541,17000,0.136
12.792,1.333567879,18753,0.150024
12.708,1.412543429,19788,0.158304
12.625,1.484834042,17244,0.137952
12.542,1.417134373,17961,0.143688
12.458,1.334736202,16801,0.134408
12.375,1.381698325,18085,0.14468
12.292,1.375835401,17472,0.139776
12.208,1.408092083,16569,0.132552
12.125,1.470272439,15823,0.126584
12.042,1.392772796,15435,0.12348
11.958,1.398462269,15561,0.124488
11.875,1.368610593,16366,0.130928
11.792,1.290912564,17931,0.143448
11.708,1.300171306,19715,0.15772
11.625,1.397280813,20019,0.160152
11.542,1.389204432,19152,0.153216
11.458,1.36218607,19645,0.15716
11.375,1.257856185,20478,0.163824
11.292,1.195027863,18680,0.14944
11.208,1.12561285,18041,0.144328
11.125,1.050940651,15815,0.12652
11.042,1.011412025,16746,0.133968
10.958,0.926576822,21625,0.173
10.875,0.835606014,32777,0.262216
10.792,0.844940571,34460,0.27568
10.708,0.837172078,36384,0.291072
10.625,0.830139668,37524,0.300192
10.542,0.806301164,35420,0.28336
10.458,0.817439735,30785,0.24628
10.375,0.827396187,25880,0.20704
10.292,0.841871863,27067,0.216536
10.208,0.863982744,28098,0.224784
10.125,0.881734693,26530,0.21224
10.042,0.942212728,23597,0.188776
9.9583,0.860877512,29588,0.236704
9.875,0.835423059,28552,0.228416
9.7917,0.811992156,27316,0.218528
9.7083,0.833574968,26251,0.210008
9.625,0.888379725,22060,0.17648
9.5417,0.849950196,18455,0.14764
9.4583,0.879491639,16543,0.132344
9.375,0.96605991,14902,0.119216
9.2917,1.015763956,12977,0.103816
9.2083,0.920055146,13619,0.108952
9.125,0.895730771,14251,0.114008
9.0417,0.905382098,11283,0.090264
8.9583,0.941876982,10374,0.082992
8.875,0.924937274,9999.7,0.0799976
8.7917,0.920387921,10432,0.083456
8.7083,0.899624565,9847.1,0.0787768
8.625,0.884055652,10422,0.083376
8.5417,0.805657318,12066,0.096528
8.4583,0.810971018,13997,0.111976
8.375,0.821173665,15968,0.127744
8.2917,0.804608722,17274,0.138192
8.2083,0.781705848,14403,0.115224
8.125,0.756634484,17543,0.140344
8.0417,0.733296845,18807,0.150456
7.9583,0.724581914,14076,0.112608
7.875,0.747238443,12820,0.10256
7.7917,0.729067781,12757,0.102056
7.7083,0.707909168,10761,0.086088
7.625,0.714480317,9792.2,0.0783376
7.5417,0.721636397,8285.9,0.0662872
7.4583,0.732295153,8825.5,0.070604
7.375,0.720485098,8220.7,0.0657656
7.2917,0.743560444,8613.3,0.0689064
7.2083,0.72446145,7790.6,0.0623248
7.125,0.727235169,8145.5,0.065164
7.0417,0.700486182,8864.4,0.0709152
6.9583,0.733195436,8067,0.064536
6.875,0.746991554,9357.7,0.0748616
6.7917,0.708843714,13110,0.10488
6.7083,0.720534678,12158,0.097264
6.625,0.721288347,14434,0.115472
6.5417,0.708536387,13228,0.105824
6.4583,0.748716697,19178,0.153424
6.375,0.737473211,13682,0.109456
6.2917,0.723463245,12859,0.102872
6.2083,0.70676225,11686,0.093488
6.125,0.71215087,13119,0.104952
6.0417,0.694732147,12651,0.101208
5.9583,0.706335107,11530,0.09224
5.875,0.723472803,11777,0.094216
5.7917,0.7098807,10164,0.081312
5.7083,0.702738041,9573.5,0.076588
5.625,0.707809951,8593.2,0.0687456
5.5417,0.718647837,9331.5,0.074652
5.4583,0.734344727,8615,0.06892
5.375,0.721861859,8683.1,0.0694648
5.2917,0.772122165,9044.8,0.0723584
5.2083,0.823387952,10747,0.085976
5.125,0.804830656,10774,0.086192
5.0417,0.840960169,9218.5,0.073748
4.9583,0.885298867,7652.7,0.0612216
